,module,param,comp,size,shape,prunable
121,bert_model.encoder.layer.7.attention.self.value,weight,1.9338999055712938,589824,"(768, 768)",True
122,bert_model.encoder.layer.7.attention.self.value,bias,1.9248120300751879,768,"(768,)",True
123,bert_model.encoder.layer.7.attention.output.dense,weight,2.011376232030008,589824,"(768, 768)",True
124,bert_model.encoder.layer.7.attention.output.dense,bias,1.8070587586505213,768,"(768,)",True
125,bert_model.encoder.layer.7.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
126,bert_model.encoder.layer.7.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
127,bert_model.encoder.layer.7.intermediate.dense,weight,1.6962065194071958,2359296,"(3072, 768)",True
128,bert_model.encoder.layer.7.intermediate.dense,bias,1.0424160378771719,3072,"(3072,)",True
129,bert_model.encoder.layer.7.output.dense,weight,1.7808117221056636,2359296,"(768, 3072)",True
130,bert_model.encoder.layer.7.output.dense,bias,1.292929292929293,768,"(768,)",True
131,bert_model.encoder.layer.7.output.LayerNorm,weight,1.0,768,"(768,)",False
132,bert_model.encoder.layer.7.output.LayerNorm,bias,1.0,768,"(768,)",False
133,bert_model.encoder.layer.8.attention.self.query,weight,1.576424650653122,589824,"(768, 768)",True
134,bert_model.encoder.layer.8.attention.self.query,bias,1.1636363636363636,768,"(768,)",True
135,bert_model.encoder.layer.8.attention.self.key,weight,1.5751195712259956,589824,"(768, 768)",True
136,bert_model.encoder.layer.8.attention.self.key,bias,383.99998855590854,768,"(768,)",True
137,bert_model.encoder.layer.8.attention.self.value,weight,1.813883092377324,589824,"(768, 768)",True
138,bert_model.encoder.layer.8.attention.self.value,bias,2.2196531302467934,768,"(768,)",True
139,bert_model.encoder.layer.8.attention.output.dense,weight,1.90149871576536,589824,"(768, 768)",True
140,bert_model.encoder.layer.8.attention.output.dense,bias,1.5088408192080869,768,"(768,)",True
141,bert_model.encoder.layer.8.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
142,bert_model.encoder.layer.8.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
143,bert_model.encoder.layer.8.intermediate.dense,weight,1.688887170864016,2359296,"(3072, 768)",True
144,bert_model.encoder.layer.8.intermediate.dense,bias,1.0346917941554141,3072,"(3072,)",True
145,bert_model.encoder.layer.8.output.dense,weight,1.7718858137426314,2359296,"(768, 3072)",True
146,bert_model.encoder.layer.8.output.dense,bias,1.2951095788165197,768,"(768,)",True
147,bert_model.encoder.layer.8.output.LayerNorm,weight,1.0,768,"(768,)",False
148,bert_model.encoder.layer.8.output.LayerNorm,bias,1.0,768,"(768,)",False
149,bert_model.encoder.layer.9.attention.self.query,weight,1.536996646262811,589824,"(768, 768)",True
150,bert_model.encoder.layer.9.attention.self.query,bias,1.1514243141969127,768,"(768,)",True
151,bert_model.encoder.layer.9.attention.self.key,weight,1.5414995895696482,589824,"(768, 768)",True
152,bert_model.encoder.layer.9.attention.self.key,bias,153.60000366210946,768,"(768,)",True
153,bert_model.encoder.layer.9.attention.self.value,weight,1.842290459041437,589824,"(768, 768)",True
154,bert_model.encoder.layer.9.attention.self.value,bias,2.272189400400679,768,"(768,)",True
155,bert_model.encoder.layer.9.attention.output.dense,weight,1.9183513436347677,589824,"(768, 768)",True
156,bert_model.encoder.layer.9.attention.output.dense,bias,1.3592920721082318,768,"(768,)",True
157,bert_model.encoder.layer.9.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
158,bert_model.encoder.layer.9.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
159,bert_model.encoder.layer.9.intermediate.dense,weight,1.6814820664935062,2359296,"(3072, 768)",True
160,bert_model.encoder.layer.9.intermediate.dense,bias,1.0222961522808633,3072,"(3072,)",True
161,bert_model.encoder.layer.9.output.dense,weight,1.7265094774651581,2359296,"(768, 3072)",True
162,bert_model.encoder.layer.9.output.dense,bias,1.275747475969499,768,"(768,)",True
163,bert_model.encoder.layer.9.output.LayerNorm,weight,1.0,768,"(768,)",False
164,bert_model.encoder.layer.9.output.LayerNorm,bias,1.0,768,"(768,)",False
165,bert_model.encoder.layer.10.attention.self.query,weight,1.5381751227008236,589824,"(768, 768)",True
166,bert_model.encoder.layer.10.attention.self.query,bias,1.2610837438423645,768,"(768,)",True
167,bert_model.encoder.layer.10.attention.self.key,weight,1.5452068259003429,589824,"(768, 768)",True
168,bert_model.encoder.layer.10.attention.self.key,bias,256.0,768,"(768,)",True
169,bert_model.encoder.layer.10.attention.self.value,weight,1.845027798229557,589824,"(768, 768)",True
170,bert_model.encoder.layer.10.attention.self.value,bias,3.3103447187244575,768,"(768,)",True
171,bert_model.encoder.layer.10.attention.output.dense,weight,1.9128579408007904,589824,"(768, 768)",True
172,bert_model.encoder.layer.10.attention.output.dense,bias,1.4409005216015063,768,"(768,)",True
173,bert_model.encoder.layer.10.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
174,bert_model.encoder.layer.10.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
175,bert_model.encoder.layer.10.intermediate.dense,weight,1.6866547984746412,2359296,"(3072, 768)",True
176,bert_model.encoder.layer.10.intermediate.dense,bias,1.009861932938856,3072,"(3072,)",True
177,bert_model.encoder.layer.10.output.dense,weight,1.7333197372231433,2359296,"(768, 3072)",True
178,bert_model.encoder.layer.10.output.dense,bias,1.1944012725118462,768,"(768,)",True
179,bert_model.encoder.layer.10.output.LayerNorm,weight,1.0,768,"(768,)",False
180,bert_model.encoder.layer.10.output.LayerNorm,bias,1.0,768,"(768,)",False
181,bert_model.encoder.layer.11.attention.self.query,weight,1.5538777024986294,589824,"(768, 768)",True
182,bert_model.encoder.layer.11.attention.self.query,bias,1.1179039301310043,768,"(768,)",True
183,bert_model.encoder.layer.11.attention.self.key,weight,1.5634789731699579,589824,"(768, 768)",True
184,bert_model.encoder.layer.11.attention.self.key,bias,256.0,768,"(768,)",True
185,bert_model.encoder.layer.11.attention.self.value,weight,1.699227705532299,589824,"(768, 768)",True
186,bert_model.encoder.layer.11.attention.self.value,bias,4.3636362690570945,768,"(768,)",True
187,bert_model.encoder.layer.11.attention.output.dense,weight,1.7530963272075542,589824,"(768, 768)",True
188,bert_model.encoder.layer.11.attention.output.dense,bias,1.6551723593622287,768,"(768,)",True
189,bert_model.encoder.layer.11.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
190,bert_model.encoder.layer.11.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
191,bert_model.encoder.layer.11.intermediate.dense,weight,1.6775640767331947,2359296,"(3072, 768)",True
192,bert_model.encoder.layer.11.intermediate.dense,bias,1.0410030282826899,3072,"(3072,)",True
193,bert_model.encoder.layer.11.output.dense,weight,1.787514684451305,2359296,"(768, 3072)",True
194,bert_model.encoder.layer.11.output.dense,bias,1.4222222222222223,768,"(768,)",True
195,bert_model.encoder.layer.11.output.LayerNorm,weight,1.0,768,"(768,)",False
196,bert_model.encoder.layer.11.output.LayerNorm,bias,1.0,768,"(768,)",False
197,bert_model.pooler.dense,weight,3.118402510749168,589824,"(768, 768)",True
198,bert_model.pooler.dense,bias,2.2857142857142856,768,"(768,)",True
199,classifier,weight,1.0,1536,"(2, 768)",False
200,classifier,bias,1.0,2,"(2,)",False
